Ride ID,Trip ID,PickHouseNumber,PickAddress,PickCity,PickZip,DropHouseNumber,DropAddress,DropCity,DropZip,PickTime,DropTime
3,3,10,CORINNE RD,BRIGHTON,02135,3,City Sq,CHARLESTOWN,02129,07:30:00.000,08:16:00.000
3,5,1927,COMMONWEALTH AVE,BRIGHTON,02135,512,ARSENAL ST,WATERTOWN,02472,10:20:00.000,10:23:00.000
3,6,511,ARSENAL ST,WATERTOWN,02472,1926,COMMONWEALTH AVE,BRIGHTON,02135,14:30:00.000,14:33:00.000
3,7,33,DEWEY ST,WATERTOWN,02472,1011,HARRISON AVE,ROXBURY,02119,08:07:00.000,08:22:00.000
3,12,32,HIGH ST,MILTON,02186,73,BROOKS DR,BRAINTREE,02184,08:50:00.000,08:59:00.000
3,13,1956,COMMONWEALTH AVE,BRIGHTON,02135,49,Brattle St,CAMBRIDGE,02138,07:57:00.000,08:03:00.000
3,14,43,Brattle St,CAMBRIDGE,02138,1950,COMMONWEALTH AVE,BRIGHTON,02135,11:00:00.000,11:06:00.000
3,17,25,Larkin Rd,NEWTON,02465,370,Mass Ave,ARLINGTON,02474,07:00:00.000,07:12:00.000
3,19,33,ROSEMARY ST,JAMAICA PLAIN,02130,66,TEMPLE PL,BOSTON,02111,09:27:00.000,10:33:00.000
3,20,133,AUCKLAND ST,DORCHESTER,02122,125,Main St,WATERTOWN,02472,08:27:00.000,09:39:00.000
